Gene name,CP number,CP_t,CP_exp,state
0610039H22Rik,1,0,0,initial
0610039H22Rik,2,19.070950288638,2.27096193628171,intermediate
0610039H22Rik,3,60,0.947,final
1500015O10Rik,1,0,0,initial
1500015O10Rik,2,20.4332348330664,1.83623112324377,intermediate
1500015O10Rik,3,60,0,final
2010001M09Rik,1,0,0,initial
2010001M09Rik,2,18.7707026023034,5.08427035251093,intermediate
2010001M09Rik,3,60,2.83,final
2010309G21Rik,1,0,0,initial
2010309G21Rik,2,18,2.686,final
2310043J07Rik,1,0,0,initial
2310043J07Rik,2,17.4746792070406,2.59176512946732,intermediate
2310043J07Rik,3,60,1.4095,final
4933400F03Rik,1,0,0,initial
4933400F03Rik,2,20.0718573043759,0.835079978102101,intermediate
4933400F03Rik,3,60,0.783,final
5031425E22Rik,1,0,0,initial
5031425E22Rik,2,13.0508067650784,-1.11970559168643,intermediate
5031425E22Rik,3,32.9220433974493,2.27644187681701,intermediate
5031425E22Rik,4,60,0.745,final
Adarb2,1,0,0,initial
Adarb2,2,17.9595373218892,3.20362991602448,intermediate
Adarb2,3,60,1.514,final
AI324046,1,0,0,initial
AI324046,2,14,6.983,final
Aicda,1,0,0,initial
Aicda,2,23.3657865976755,3.87755122059294,intermediate
Aicda,3,60,0,final
Alox12e,1,0,0,initial
Alox12e,2,30,3.537,final
Ankrd24,1,0,0,initial
Ankrd24,2,2.87441997942145,-2.98995501837549,intermediate
Ankrd24,3,9.00356486859725,3.16228832291691,intermediate
Ankrd24,4,46.6528252214466,-1.50608167474307,intermediate
Ankrd24,5,60,0.631,final
Aqp3,1,0,0,initial
Aqp3,2,21.7677796711748,6.19417997579514,intermediate
Aqp3,3,60,3.615,final
Asb2,1,0,0,initial
Asb2,2,25.777438480703,4.38888483117039,intermediate
Asb2,3,60,0.9435,final
Bhlha15,1,0,0,initial
Bhlha15,2,60,1.385,final
Blnk,1,0,0,initial
Blnk,2,19.1908139905769,2.73624657076118,intermediate
Blnk,3,60,1.34,final
Cacna1s,1,0,0,initial
Cacna1s,2,20.9729050202038,2.35703621877205,intermediate
Cacna1s,3,60,1.639,final
Ccnk,1,0,0,initial
Ccnk,2,21.9496885501508,3.67864483497821,intermediate
Ccnk,3,60,2.372,final
Cd74,1,0,0,initial
Cd74,2,18.0160477463587,2.06898100501469,intermediate
Cd74,3,40,0.847,final
Cdk19,N/A,N/A,N/A,N/A
Ces2a,1,0,0,initial
Ces2a,2,22.041510378092,1.74465123703126,intermediate
Ces2a,3,60,1.355,final
Cilp,1,0,0,initial
Cilp,2,19.0831139878284,2.62357847566843,intermediate
Cilp,3,60,0,final
Dapl1,1,0,0,initial
Dapl1,2,19.2605549609736,2.5764802392597,intermediate
Dapl1,3,60,1.154,final
Dclk1,1,0,0,initial
Dclk1,2,9.42893117880028,1.40529880828168,intermediate
Dclk1,3,60,0.8455,final
Derl3,1,0,0,initial
Derl3,2,19.9829066168351,2.96795237517723,intermediate
Derl3,3,60,2.397,final
Eaf2,1,0,0,initial
Eaf2,2,18.125462276181,3.73935861625742,intermediate
Eaf2,3,60,2.358,final
F730002C09Rik,N/A,N/A,N/A,N/A
Fcrla,1,0,0,initial
Fcrla,2,16.550449422613,2.14367811152528,intermediate
Fcrla,3,60,0,final
Fxyd4,1,0,0,initial
Fxyd4,2,60,2.5,final
Fzd10,1,0,0,initial
Fzd10,2,19.692964288764,0.63628296211066,intermediate
Fzd10,3,33.395978220708,1.69258787187985,intermediate
Fzd10,4,60,0,final
Galnt12,1,0,0,initial
Galnt12,2,10,0.899,final
Gm1499,1,0,0,initial
Gm1499,2,20.9092496449446,4.83825659376977,intermediate
Gm1499,3,60,3.283,final
Gm1502,1,0,0,initial
Gm1502,2,18,4.86,final
Gm1524,1,0,0,initial
Gm1524,2,18,4.447,final
Gm5222,1,0,0,initial
Gm5222,2,24.0932909701008,-0.046683078913178,intermediate
Gm5222,3,30.4998608057051,2.06897926540127,intermediate
Gm5222,4,60,0,final
Gm5571,1,0,0,initial
Gm5571,2,18.4297147812835,4.50360667687531,intermediate
Gm5571,3,60,2.014,final
Gm10879,1,0,0,initial
Gm10879,2,18.6720226742329,4.2671601428536,intermediate
Gm10879,3,60,3.658,final
Gng13,1,0,0,initial
Gng13,2,22.7881273272278,1.80035982611879,intermediate
Gng13,3,60,0.907,final
H2-DMb2,1,0,0,initial
H2-DMb2,2,20.0558695722452,2.17038506405229,intermediate
H2-DMb2,3,60,0.754,final
Igh-V10,1,0,0,initial
Igh-V10,2,40,4.606,final
Igh-V7183,1,0,0,initial
Igh-V7183,2,22,3.808,final
Igh-VJ558,1,0,0,initial
Igh-VJ558,2,18,4.327,final
Igh-VX24,1,0,0,initial
Igh-VX24,2,18.4928940409265,2.91510457135491,intermediate
Igh-VX24,3,60,2.015,final
Ighg,1,0,0,initial
Ighg,2,18,4.908,final
Ighm,1,0,0,initial
Ighm,2,30,5.356,final
Ighv1-77,1,0,0,initial
Ighv1-77,2,18,3.908,final
Ighv1-54,1,0,0,initial
Ighv1-54,2,22,4.325,final
Igj,1,0,0,initial
Igj,2,18,5.2835,final
Igk-V1,1,0,0,initial
Igk-V1,2,15.4743422862271,4.50062593650253,intermediate
Igk-V1,3,40,3.6225,final
Igk-V19-20,1,0,0,initial
