Gene name,CP number,CP_t,CP_exp,state
FGR,1,0,0,initial
FGR,2,3.63698669531901,-1.16381341918402,intermediate
FGR,3,7,3,final
FUCA2,1,0,0,initial
FUCA2,2,3.41560337968288,-3.95123409279198,intermediate
FUCA2,3,7,-0.975887543883193,final
GCLC,1,0,0,initial
GCLC,2,2.36367414466077,-0.446669558996652,intermediate
GCLC,3,5.01107934305753,-5.4737543517002,intermediate
GCLC,4,7,0.416859084168432,final
CYP51A1,1,0,0,initial
CYP51A1,2,2.42166774039688,2.61416071966169,intermediate
CYP51A1,3,4.74858620625981,-3.0686066075117,intermediate
CYP51A1,4,7,-1.83007499855769,final
LAP3,1,0,0,initial
LAP3,2,2.42973760209688,0.968428964041994,intermediate
LAP3,3,4.73794313331342,-5.89173406412023,intermediate
LAP3,4,7,-2.29415053020423,final
HS3ST1,1,0,0,initial
HS3ST1,2,3.43440418830804,-3.28048087072911,intermediate
HS3ST1,3,7,1.10780328953452,final
AOC1,N/A,N/A,N/A,N/A
HECW1,1,0,0,initial
HECW1,2,3.53601807654418,-4.09526107888151,intermediate
HECW1,3,7,1,final
CYP26B1,N/A,N/A,N/A,N/A
MTMR7,1,0,0,initial
MTMR7,2,2.34547353012682,2.88408148328902,intermediate
MTMR7,3,4.99746560178295,-2.48698479417902,intermediate
MTMR7,4,7,2.02974734339405,final
SLC7A2,1,0,0,initial
SLC7A2,2,3.48090538506879,-3.14803127249679,intermediate
SLC7A2,3,7,-0.101879614019214,final
AK2,N/A,N/A,N/A,N/A
CD38,N/A,N/A,N/A,N/A
CAMKK1,1,0,0,initial
CAMKK1,2,7,-2.27633122844725,final
NDUFAB1,N/A,N/A,N/A,N/A
PDK4,1,0,0,initial
PDK4,2,3.61316046791534,-3.46571878561227,intermediate
PDK4,3,7,6.98228060455828,final
SLC22A16,N/A,N/A,N/A,N/A
SLC25A13,N/A,N/A,N/A,N/A
SLC25A5,1,0,0,initial
SLC25A5,2,3.46766423410264,-1.67036777497845,intermediate
SLC25A5,3,7,-1.42882445100892,final
POLR2J,N/A,N/A,N/A,N/A
ACSM3,1,0,0,initial
ACSM3,2,2.5976276995801,3.06772386650412,intermediate
ACSM3,3,4.27667191073684,-4.09740371440195,intermediate
ACSM3,4,7,-1.50250034052918,final
PRKAR2B,N/A,N/A,N/A,N/A
CREBBP,1,0,0,initial
CREBBP,2,3.68231145434672,-1.12292849269576,intermediate
CREBBP,3,7,2.34093203651185,final
MPO,N/A,N/A,N/A,N/A
PON1,1,0,0,initial
PON1,2,1.36984932470217,-2.63960764520095,intermediate
