State,Term,Count,% (filter > 4%),PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR (filter < 0.05)
1,GO:0006631~fatty acid metabolic process,37,4.579207921,4.22E-24,"ASAH1, AASDH, DBI, CROT, HSD17B10, LIPA, AACS, GPAT4, GPAT2, CD36, GGT1, UGT1A8, CBR4, UGT1A7, CYP2J2, ACSL1, ECH1, ACOT11, CYP4A11, ACSL6, CPT1C, ACSF3, CYP4F12, ACADSB, ACSF2, ALDH3A2, GNPAT, PCCA, ACOX1, FASN, NAAA, ACOT2, CRYL1, ACOT1, CYP2E1, ACOX3, PPARA",799,104,19416,8.645325888,1.47E-20,1.47E-20,1.43E-20
1,GO:0046777~protein autophosphorylation,35,4.331683168,1.63E-17,"DDR1, ALK, SMG1, CAMK2D, LRRK2, PRKX, IGF1R, STK11, STK16, PIM1, MAP3K21, RIOK2, JAK2, HTATIP2, MAP3K3, EPHA4, CDKL5, DAPK1, EIF2AK1, INSR, TNK1, EIF2AK2, MAPK15, CLK2, TAOK2, MYO3A, KIT, TYRO3, ULK3, ULK2, PRKD2, PRKD1, EPHA1, MAP3K11, MAP3K12",799,139,19416,6.118799579,5.70E-14,1.14E-14,1.11E-14
1,GO:0006629~lipid metabolic process,53,6.559405941,1.32E-22,"SLC27A1, ACSM3, PTPN22, LIPA, FADS6, FNTB, CD36, ACP3, FADS1, ARSA, HMGCS1, BCKDHB, AKR1A1, PTGR3, CYP27A1, ACLY, ALDH3A1, ACOX1, SLC27A3, SLC27A2, UGT2B7, ST6GALNAC6, ACSS2, SGMS1, AASDH, ABCB4, MGST2, GDPD2, ALOX12, LRP2, CYP3A4, HSD17B10, HMGCL, ALDH3B2, CYP4X1, ALDH3B1, RDH16, ACSS1, GSTM4, PTGES2, SRD5A1, ADHFE1, EPHX1, CYP51A1, CIDEA, FMO5, ACSF3, AADAC, GSTA3, FASN, LPCAT2, APOC1, PLCD3",799,250,19416,5.151679599,4.61E-19,2.31E-19,2.24E-19
1,GO:0006468~protein phosphorylation,53,6.559405941,1.93E-19,"TP53RK, LRRK2, PIK3CD, TESK2, IKBKB, STK11, AKT3, PIM1, JAK2, MAP3K6, JAK3, PRKG1, MAP3K5, MAP4K2, CDKL5, SYK, PRKCB, DAPK1, RIPK4, DYRK1B, PRKCA, IRAK3, TYK2, TNNI3K, ZAP70, BTK, PRKD2, CSNK1G2, CILK1, CAMK2D, BRSK2, NLK, PRKCZ, MAPK9, NUAK1, STK36, ERBB2, MAP3K21, MAP3K1, LIMK2, INSR, TNK1, EIF2AK2, DCLK1, CLK2, MAPK10, PINK1, CDK6, CDK5, CAMK4, AAK1, MAP3K11, MAP3K12",799,292,19416,4.410684589,6.71E-16,1.68E-16,1.63E-16
1,GO:0006338~chromatin remodeling,106,13.11881188,4.15E-22,"TP53RK, TESK2, IGF1R, STK11, RPS6KA6, AKT3, STK16, PIM1, MAP3K7, TNS2, PSKH1, EPHA5, EPHA4, DAPK1, PRKCB, LMTK3, SETMAR, DYRK1B, PRKCA, TNNI3K, TYRO3, ULK3, DPEP2, BTK, PADI2, ULK2, EPHA1, CSNK1G2, CSNK1G1, BRSK2, KMT2C, NTPCR, RPAP2, STK31, NUAK1, STK36, SRPK3, INSR, EIF2AK1, TNK1, EIF2AK2, SSH2, SSH3, DCLK1, CLK2, PTPRD, CDK5, PTPRA, AAK1, DDR1, ALK, SMG1, PTPRR, PTPRS, LRRK2, SETD7, DUSP19, PTPN21, PTPRM, PTPN22, PTPRF, IKBKB, DSTYK, RIOK2, ACP3, JAK2, JAK3, PRMT6, MAP4K2, RIPK3, SYK, PRMT2, NCOA3, RIPK4, CTDSPL, TYK2, IRAK4, ZAP70, DUSP23, KAT2A, CTDSP1, CTDSP2, MYO3A, KIT, PRMT9, CILK1, GTF3C4, SMARCD3, PPM1L, PPM1M, PRKX, TTN, PTPRZ1, NSD1, ERBB2, MAP4K5, LIMK2, HUWE1, PTPN13, PTPN14, PIKFYVE, PINK1, TAOK2, PTPN4, EEF1AKMT2, FRK",799,917,19416,2.808985605,1.45E-18,4.83E-19,4.69E-19
1,GO:0035556~intracellular signal transduction,44,5.445544554,7.79E-07,"GUCY2C, BRSK2, TFRC, DGKA, LRRK2, CBLB, PLD1, NLK, PRKCZ, ADCY6, PLD2, ERBB2, AKT3, PLCG1, JAK2, MAP4K5, JAK3, MAP3K2, SRPK3, MAP4K2, MAP3K3, SYK, PRKCB, DAPK1, ACOT11, PRKCA, IRAK3, TYK2, IRAK4, MAPK15, DCLK1, ZAP70, PIKFYVE, PINK1, DGKQ, CAMK4, KIT, FKBP8, BTK, PRKD2, PRKD1, PLCD3, CILK1, MAP3K12",799,468,19416,2.284650685,0.002710702,1.29E-04,1.26E-04
,,,,,,,,,,,,
2,GO:0046513~ceramide biosynthetic process,7,6.862745098,1.92E-08,"CERS3, ELOVL1, CERS4, SMPD1, DEGS1, ALOX12B, CYP4F22",101,34,19416,39.5783343,1.36E-05,1.36E-05,1.34E-05
2,GO:0030148~sphingolipid biosynthetic process,7,6.862745098,9.66E-08,"CERS3, ELOVL1, CERS4, ACER1, ELOVL4, DEGS1, ELOVL7",101,44,19416,30.58325833,6.85E-05,3.43E-05,3.37E-05
2,GO:0008202~steroid metabolic process,7,6.862745098,1.65E-07,"SULT2B1, SULT1E1, HSD17B2, MSMO1, DHCR24, SDR9C7, CYP7B1",101,48,19416,28.03465347,1.17E-04,3.90E-05,3.84E-05
