Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006631~fatty acid metabolic process	37	4.579207920792079	4.221687859524631E-24	ASAH1, AASDH, DBI, CROT, HSD17B10, LIPA, AACS, GPAT4, GPAT2, CD36, GGT1, UGT1A8, CBR4, UGT1A7, CYP2J2, ACSL1, ECH1, ACOT11, CYP4A11, ACSL6, CPT1C, ACSF3, CYP4F12, ACADSB, ACSF2, ALDH3A2, GNPAT, PCCA, ACOX1, FASN, NAAA, ACOT2, CRYL1, ACOT1, CYP2E1, ACOX3, PPARA	799	104	19416	8.645325888129394	1.471258219044334E-20	1.471258219044334E-20	1.4298856780209924E-20
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	53	6.5594059405940595	1.3238355332251632E-22	SLC27A1, ACSM3, PTPN22, LIPA, FADS6, FNTB, CD36, ACP3, FADS1, ARSA, HMGCS1, BCKDHB, AKR1A1, PTGR3, CYP27A1, ACLY, ALDH3A1, ACOX1, SLC27A3, SLC27A2, UGT2B7, ST6GALNAC6, ACSS2, SGMS1, AASDH, ABCB4, MGST2, GDPD2, ALOX12, LRP2, CYP3A4, HSD17B10, HMGCL, ALDH3B2, CYP4X1, ALDH3B1, RDH16, ACSS1, GSTM4, PTGES2, SRD5A1, ADHFE1, EPHX1, CYP51A1, CIDEA, FMO5, ACSF3, AADAC, GSTA3, FASN, LPCAT2, APOC1, PLCD3	799	250	19416	5.151679599499374	4.613566833289694E-19	2.306783416644847E-19	2.241915475516814E-19
GOTERM_BP_DIRECT	GO:0006338~chromatin remodeling	106	13.118811881188119	4.154596249528947E-22	TP53RK, TESK2, IGF1R, STK11, RPS6KA6, AKT3, STK16, PIM1, MAP3K7, TNS2, PSKH1, EPHA5, EPHA4, DAPK1, PRKCB, LMTK3, SETMAR, DYRK1B, PRKCA, TNNI3K, TYRO3, ULK3, DPEP2, BTK, PADI2, ULK2, EPHA1, CSNK1G2, CSNK1G1, BRSK2, KMT2C, NTPCR, RPAP2, STK31, NUAK1, STK36, SRPK3, INSR, EIF2AK1, TNK1, EIF2AK2, SSH2, SSH3, DCLK1, CLK2, PTPRD, CDK5, PTPRA, AAK1, DDR1, ALK, SMG1, PTPRR, PTPRS, LRRK2, SETD7, DUSP19, PTPN21, PTPRM, PTPN22, PTPRF, IKBKB, DSTYK, RIOK2, ACP3, JAK2, JAK3, PRMT6, MAP4K2, RIPK3, SYK, PRMT2, NCOA3, RIPK4, CTDSPL, TYK2, IRAK4, ZAP70, DUSP23, KAT2A, CTDSP1, CTDSP2, MYO3A, KIT, PRMT9, CILK1, GTF3C4, SMARCD3, PPM1L, PPM1M, PRKX, TTN, PTPRZ1, NSD1, ERBB2, MAP4K5, LIMK2, HUWE1, PTPN13, PTPN14, PIKFYVE, PINK1, TAOK2, PTPN4, EEF1AKMT2, FRK	799	917	19416	2.8089856049614914	1.4478767929608382E-18	4.826255976536127E-19	4.6905391657181815E-19
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	53	6.5594059405940595	1.9259471638461193E-19	TP53RK, LRRK2, PIK3CD, TESK2, IKBKB, STK11, AKT3, PIM1, JAK2, MAP3K6, JAK3, PRKG1, MAP3K5, MAP4K2, CDKL5, SYK, PRKCB, DAPK1, RIPK4, DYRK1B, PRKCA, IRAK3, TYK2, TNNI3K, ZAP70, BTK, PRKD2, CSNK1G2, CILK1, CAMK2D, BRSK2, NLK, PRKCZ, MAPK9, NUAK1, STK36, ERBB2, MAP3K21, MAP3K1, LIMK2, INSR, TNK1, EIF2AK2, DCLK1, CLK2, MAPK10, PINK1, CDK6, CDK5, CAMK4, AAK1, MAP3K11, MAP3K12	799	292	19416	4.410684588612479	6.711925866003726E-16	1.6779814665009314E-16	1.6307957609867016E-16
GOTERM_BP_DIRECT	GO:0046777~protein autophosphorylation	35	4.3316831683168315	1.634762243433427E-17	DDR1, ALK, SMG1, CAMK2D, LRRK2, PRKX, IGF1R, STK11, STK16, PIM1, MAP3K21, RIOK2, JAK2, HTATIP2, MAP3K3, EPHA4, CDKL5, DAPK1, EIF2AK1, INSR, TNK1, EIF2AK2, MAPK15, CLK2, TAOK2, MYO3A, KIT, TYRO3, ULK3, ULK2, PRKD2, PRKD1, EPHA1, MAP3K11, MAP3K12	799	139	19416	6.118799578609953	5.697146418365493E-14	1.1394292836730985E-14	1.1073879437018034E-14
GOTERM_BP_DIRECT	GO:0006805~xenobiotic metabolic process	30	3.7128712871287126	4.810500543403493E-15	RORA, CYP2C19, CYP3A4, CYP3A5, CYP3A7, CYP2R1, UGT1A8, UGT1A7, CBR3, CYP2J2, BCHE, ABCC2, ABCC5, EPHX1, CYP4F3, FMO1, FMO2, FMO4, CYP4F12, FMO5, CYP2C9, ALDH3A1, NAT1, AADAC, CYP2U1, GSTA4, GSTA3, CYP2E1, UGT2B7, SLC29A3	799	119	19416	6.126145076303363	1.6637247135520283E-11	2.7940990656268625E-12	2.715527556751272E-12
GOTERM_BP_DIRECT	GO:0006635~fatty acid beta-oxidation	18	2.2277227722772275	6.343280522461269E-12	ABCD3, ACAA2, ECH1, HSD17B4, CROT, CPT1C, HSD17B10, MCAT, BDH2, CPT2, SCP2, ACOX1, ECHDC2, ACADM, ACADS, ACAD10, ABCD1, SLC27A2	799	50	19416	8.7481351689612	2.210625826837287E-8	3.1580475172539316E-9	3.069241589939474E-9
GOTERM_BP_DIRECT	GO:0001676~long-chain fatty acid metabolic process	15	1.8564356435643563	8.303662358075208E-12	SLC27A1, ACSL1, CYP4A11, CYP4F3, ACSL6, CYP2C19, CYP4F12, ACSF2, CPT2, PNPLA3, ACOT2, ACOT1, CYP2E1, SLC27A3, SLC27A2	799	32	19416	11.390801001251566	2.8938362928165873E-8	3.6172829147365124E-9	3.515563050850091E-9
GOTERM_BP_DIRECT	GO:0006695~cholesterol biosynthetic process	15	1.8564356435643563	2.0316277597859047E-10	FDPS, ACAA2, HMGCS1, CYP51A1, HMGCR, HSD17B7, LSS, LIPA, TM7SF2, ACLY, PLPP6, EBP, NSDHL, MVD, HMGCS2	799	39	19416	9.346298257437182	7.080221767763462E-7	7.866914158726532E-8	7.645692469327621E-8
GOTERM_BP_DIRECT	GO:0150104~transport across blood-brain barrier	20	2.4752475247524752	1.2276153033041602E-9	SLC12A2, SLC27A1, SLC15A2, SLC24A3, ABCC2, SLC44A1, ATP8A1, TFRC, ABCC5, SLC2A13, INSR, SLC6A13, ATP2B4, SLC1A4, LRP2, SLC6A20, SLC7A8, SLC6A9, SLCO3A1, SLC16A7	799	85	19416	5.717735404549805	4.27823032034258E-6	4.278239332014998E-7	4.1579330322911903E-7
