Gene name,number of CPs,RSS,nCP-penalized RSS,R squared
FGR,3,2.32311287050124,9.29245148200496,0.825197478642687
FUCA2,3,0.319104021947121,1.27641608778848,0.928022062782006
GCLC,4,0.962833221756425,8.66549899580783,0.898093817736437
CYP51A1,4,0.553900721957151,4.98510649761436,0.938292353393614
LAP3,4,0.879260643938477,7.91334579544629,0.9337453449346
HS3ST1,3,1.8409042880425,7.36361715217001,0.771105541425572
AOC1,,,,
HECW1,3,1.3924140061858,5.56965602474319,0.864362692102792
CYP26B1,,,,
MTMR7,4,0.504100322307609,4.53690290076848,0.857450183942075
SLC7A2,3,0.207632179582205,0.830528718328822,0.927855357259605
AK2,,,,
CD38,,,,
CAMKK1,2,0.738940470887502,0.738940470887502,0.885474435864673
NDUFAB1,,,,
PDK4,3,11.1223083738708,44.489233495483,0.822162385818517
SLC22A16,,,,
SLC25A13,,,,
SLC25A5,3,0.428808754476534,1.71523501790614,0.80211195840844
POLR2J,,,,
ACSM3,4,0.926264163955091,8.33637747559582,0.901527317319688
PRKAR2B,,,,
CREBBP,3,0.886427795409497,3.54571118163799,0.851291768300248
MPO,,,,
PON1,4,0.424625440290802,3.82162896261722,0.841371356119679
CROT,4,1.19873627421644,10.788626467948,0.933295815904032
ABCB4,4,1.41497777303327,12.7347999572994,0.865881858653541
MYCBP2,4,1.03317155996593,9.29854403969334,0.80667965636525
PDK2,4,0.252205347702296,2.26984812932067,0.982484632185553
MAP3K14,4,1.78050842553732,16.0245758298359,0.757205432049863
ABCC8,,,,
MAP3K9,2,0.284290847681301,0.284290847681301,0.982798745127764
AGK,4,0.80909574742386,7.28186172681474,0.822974629509686
ALDH3B1,4,2.97049477646054,26.7344529881448,0.782404360689518
GGCT,,,,
COX10,4,0.196252732701591,1.76627459431432,0.834666754726084
ARSD,3,0.340992961223965,1.36397184489586,0.968398098524544
PNPLA4,4,0.81457479597289,7.33117316375601,0.923566875603326
CDKL3,,,,
UPP2,,,,
PAFAH1B1,,,,
NOS2,,,,
SLC13A2,,,,
MATK,,,,
TKTL1,,,,
PIGQ,4,0.587458342482068,5.28712508233861,0.79867667274941
FMO3,3,1.07844376769541,4.31377507078165,0.79519520574498
MYLIP,,,,
CDKL5,4,0.525510514006053,4.72959462605447,0.782286470320292
CAMK1G,,,,
CDK11A,,,,
NADK,4,0.318920066947757,2.87028060252981,0.861957967333998
CELSR3,,,,
AASS,3,0.667368312185132,2.66947324874053,0.864004030739084
MGST1,,,,
PGLYRP1,,,,
ST3GAL1,3,0.939502337147672,3.75800934859069,0.859112307821291
UBE3C,4,0.408241951890597,3.67417756701537,0.781817869893856
REV3L,4,0.220316808101654,1.98285127291489,0.937580684669935
POMT2,4,0.285998805436249,2.57398924892624,0.920296402525727
METTL13,4,0.531938040884678,4.7874423679621,0.802161341247272
DYRK4,3,1.35045235270777,5.40180941083106,0.822733623212596
UQCRC1,3,0.274390245713564,1.09756098285426,0.938805800169949
SLC6A13,4,1.97505809509147,17.7755228558232,0.815690632066052
IDS,4,0.315210104052998,2.83689093647698,0.893520922220755
BTK,4,1.43219041931753,12.8897137738578,0.790417111952628
FYN,,,,
FMO1,4,2.09121589344885,18.8209430410396,0.934486073681784
LYPLA2,,,,
SLC6A7,,,,
ABHD5,3,1.24589441696833,4.98357766787332,0.787503232424348
RNF216,4,0.234680170553609,2.11212153498248,0.757821481990026
PIK3C2A,3,0.206716140771496,0.826864563085985,0.889081486443804
PPP5C,4,1.11847763791716,10.0662987412544,0.759279934263502
EXTL3,4,0.784390995525397,7.05951895972857,0.84337000489111
ELOVL5,3,0.258031978267351,1.0321279130694,0.922080432582859
ALOX5,4,0.764993740211918,6.88494366190726,0.837587808577679
UBR7,3,0.537063700349861,2.14825480139944,0.891283414903075
MAP4K5,4,0.381703805652218,3.43533425086996,0.860760000357911
MAN2B2,4,0.74154077906022,6.67386701154198,0.905590274132912
CLK1,,,,
POLR3B,,,,
RNF14,4,0.392700145176482,3.53430130658833,0.911105887148028
POLA2,,,,
ACP3,4,3.13516070680287,28.2164463612258,0.775025621961327
MDH1,3,1.34414092411852,5.3765636964741,0.805136551215365
DPEP1,,,,
NPC1L1,,,,
XYLT2,3,1.46411319513032,5.85645278052126,0.86324872646142
CHDH,2,2.26324593303824,2.26324593303824,0.781212890662406
GLT8D1,3,1.27847040874484,5.11388163497937,0.82791651669326
ATP2C1,4,0.280526539004511,2.5247388510406,0.902767431234752
SLC38A5,,,,
RALBP1,4,1.10046680641088,9.9042012576979,0.804515649282676
SLC11A1,4,0.234133269046582,2.10719942141924,0.952236491564371
AGPS,3,0.715728395359965,2.86291358143986,0.853935611331139
ATP1A2,,,,
CYP24A1,4,3.28446432943316,29.5601789648985,0.775679255985996
CYP3A43,,,,
SLC7A9,,,,
CPS1,4,0.997629022416544,8.97866120174889,0.924751095014081
ZDHHC6,3,0.150434327870138,0.601737311480553,0.838298530592357
NDUFS1,,,,
GLRX2,,,,
DERA,4,0.427585633155588,3.84827069840029,0.939110183174037
ABCC2,4,0.734416130218522,6.6097451719667,0.858554102972679
GCLM,3,1.05472197919667,4.21888791678666,0.846313480881373
UBR2,4,0.144219461721302,1.29797515549172,0.963797253351652
HSD17B6,4,2.59714049843702,23.3742644859332,0.824790947058485
KPNA6,4,0.240098890034293,2.16089001030864,0.757037923764433
FAS,3,0.126970126440575,0.507880505762299,0.973736228437028
AGPAT4,,,,
PRKCH,2,0.326027017003231,0.326027017003231,0.891016095730371
INSRR,,,,
B4GALT7,,,,
VRK2,,,,
TFB1M,4,0.714337344067537,6.42903609660783,0.903372999342265
NUP160,,,,
MUSK,,,,
PNPLA6,4,0.634429438119183,5.70986494307264,0.852320257394699
ALG1,,,,
CHPF2,4,0.238276184253537,2.14448565828183,0.925595720757348
FUT8,3,0.444326371829649,1.7773054873186,0.955050274442175
UBA6,4,0.268627487673701,2.41764738906331,0.760142832770317
SLC4A7,,,,
MAP2K3,3,4.43801615158929,17.7520646063572,0.835841178867504
RNF19A,4,0.442957135727597,3.98661422154837,0.862244840253804
DAPK2,4,0.755990149861814,6.80391134875633,0.801142787021413
ADSS2,3,0.587556965112041,2.35022786044816,0.854170327437013
OTC,4,0.154219581813813,1.38797623632432,0.929839369192531
CYP46A1,3,0.819567545478541,3.27827018191416,0.871300948020651
SLC18A1,,,,
USP2,2,6.56179874352467,6.56179874352467,0.871053948923219
FLT4,,,,
MRI1,4,0.70976528580713,6.38788757226417,0.805640525512219
METTL1,,,,
AGA,,,,
PI4K2B,2,0.963700945985473,0.963700945985473,0.844535933144878
MAT2B,3,0.279760212197982,1.11904084879193,0.882251135547383
TRIO,3,0.545883380823676,2.1835335232947,0.763942437511626
MTREX,,,,
PNKP,,,,
INPP4A,3,0.546147410445976,2.1845896417839,0.787111611404581
PARP3,4,0.391539545186476,3.52385590667828,0.966550912474773
TRIT1,4,0.662638690729614,5.96374821656653,0.898298558969828
PHKA2,3,0.0980356123115761,0.392142449246304,0.981243636828471
EPHA3,,,,
CTPS2,3,1.3005839768769,5.20233590750761,0.83916500361372
POLR2B,4,0.300228769566323,2.70205892609691,0.817428133858879
TPR,4,0.235868968933828,2.12282072040445,0.863454146348664
CP,4,0.877372782797056,7.89635504517351,0.756253820510819
ROS1,,,,
USP28,3,1.84348302827254,7.37393211309018,0.801188546267807
RRM2B,,,,
H6PD,4,0.749009117241682,6.74108205517514,0.890030050765266
NEDD4L,3,3.44459767507283,13.7783907002913,0.882239794279953
SLC4A8,3,0.516532126993911,2.06612850797564,0.753847441629233
MAPK9,4,0.147284868475955,1.3255638162836,0.962962209531262
