Gene name,CP number,CP_t,CP_exp,state
SPSB1,1,0,0,initial
SPSB1,2,4.60770161077115,0.701767444097819,intermediate
SPSB1,3,10,0.768634352999999,final
GPR3,1,0,0,initial
GPR3,2,4.2484917444295,1.68342710836073,intermediate
GPR3,3,10,1.247842127,final
MFSD2A,1,0,0,initial
MFSD2A,2,4.3432367398402,1.70688481926498,intermediate
MFSD2A,3,10,1.2715150575,final
GADD45A,1,0,0,initial
GADD45A,2,3.13005011689244,-0.252937685924875,intermediate
GADD45A,3,6.47125118992675,1.19858277782212,intermediate
GADD45A,4,10,0.654138535,final
ARID3B,1,0,0,initial
ARID3B,2,4.06028406990636,-0.419965101321526,intermediate
ARID3B,3,5.78549725294473,1.065973497549,intermediate
ARID3B,4,10,0.704533309000002,final
CYR61,1,0,0,initial
CYR61,2,0.298005932522747,1.7662118174891,intermediate
CYR61,3,4.87052097803232,-0.262154557303252,intermediate
CYR61,4,6.79512526342798,1.59095579617401,intermediate
CYR61,5,10,0.976694237,final
LRRC8B,1,0,0,initial
LRRC8B,2,2.94779887289066,-0.304430403358761,intermediate
LRRC8B,3,6.4062322652816,1.13531352635004,intermediate
LRRC8B,4,10,0.560655690000001,final
SLC30A7,1,0,0,initial
SLC30A7,2,2.30968124209202,-0.523916000343775,intermediate
SLC30A7,3,3.19849515318418,1.40501812978528,intermediate
SLC30A7,4,7.66310113108311,0.131925016151268,intermediate
SLC30A7,5,10,0.488338815000001,final
PEA15,1,0,0,initial
PEA15,2,10,0.57681846,final
UAP1,1,0,0,initial
UAP1,2,4.46401487282927,0.786227395719852,intermediate
UAP1,3,10,0.562153305000001,final
QSOX1,1,0,0,initial
QSOX1,2,10,1.3067223615,final
BTG2,1,0,0,initial
BTG2,2,3.77209502270166,2.05071714108159,intermediate
BTG2,3,10,1.0475618455,final
CD55,1,0,0,initial
CD55,2,4.36544915563983,0.370203984299297,intermediate
CD55,3,10,0.627055889999999,final
GPR137B,1,0,0,initial
