Gene name,number of CPs,RSS,nCP-penalized RSS,R squared
SPSB1,3,0.0233863851968619,0.0935455407874475,0.966329047299579
GPR3,3,0.0540298315128898,0.216119326051559,0.971110798387966
MFSD2A,3,0.0387774187366728,0.155109674946691,0.982462537347527
GADD45A,4,0.0372157266963886,0.334941540267498,0.963188855165229
ARID3B,4,0.0485415543660244,0.43687398929422,0.945655082076382
CYR61,5,0.0819595672343636,1.31135307574982,0.901009402545785
LRRC8B,4,0.027730924933545,0.249578324401905,0.966572430056884
SLC30A7,5,0.0291386107293004,0.466217771668807,0.946844858648648
PEA15,2,0.0676186424006655,0.0676186424006655,0.874834314628043
UAP1,3,0.0499817437626343,0.199926975050537,0.91531264315238
QSOX1,2,0.208290446201289,0.208290446201289,0.863540552321287
BTG2,3,0.200621250672567,0.802485002690269,0.871749629699351
CD55,3,0.105513414802713,0.422053659210851,0.851978863650902
GPR137B,3,0.0596196539347794,0.238478615739117,0.920905694118031
ERRFI1,4,0.0685689353835923,0.617120418452331,0.898877925902857
EPHA2,2,0.558816815170927,0.558816815170927,0.871590656401404
GNL2,5,0.0343382970668475,0.54941275306956,0.92891976594866
YRDC,4,0.0164188809817275,0.147769928835548,0.984624863954847
SLC2A1,5,0.0443141905017452,0.709027048027923,0.8557640509272
BCL10,3,0.0177651375549857,0.0710605502199429,0.982325154537127
GTF2B,3,0.101925576937943,0.407702307751771,0.878829123582519
TAF13,2,0.201172116018934,0.201172116018934,0.857365542905523
MCL1,3,0.027735612622819,0.110942450491276,0.954401125781846
CRABP2,2,0.142742456069151,0.142742456069151,0.8653100606195
PTGS2,3,1.06943393876244,4.27773575504977,0.876212785402276
PGBD5,4,0.139645202888444,1.25680682599599,0.866351013254987
TFB2M,3,0.0853546598274994,0.341418639309998,0.855005180835317
ARL5B,2,0.107969822061872,0.107969822061872,0.889256219820097
DDX21,5,0.0424092140249956,0.67854742439993,0.922012296928992
RPS24,5,0.0229614556533328,0.367383290453325,0.930328012481022
EGR2,4,0.313030257747137,2.81727231972423,0.973845922572472
CHST15,3,0.110648851027106,0.442595404108425,0.882122382090452
CD44,2,0.174832841435987,0.174832841435987,0.860424198703204
DRAP1,,,,
RBM14,4,0.0141473608078719,0.127326247270847,0.898510343997785
PHLDA2,2,0.0973410243991588,0.0973410243991588,0.912499179116227
CYB5R2,2,0.33579776140914,0.33579776140914,0.929330620624567
CHRM4,2,0.0921916658966154,0.0921916658966154,0.853557229238626
NXF1,3,0.0392046015046008,0.156818406018403,0.878615096024109
FOSL1,3,0.0515000818246125,0.20600032729845,0.954652826693282
EMP1,3,0.791194330118473,3.16477732047389,0.904309189073808
NR4A1,3,0.168105572949309,0.672422291797234,0.973159769961863
NAB2,3,0.133415735836065,0.533662943344259,0.914706961947676
ZNF26,4,0.193866923965974,1.74480231569377,0.855197662638499
KRT8,2,0.122395332971916,0.122395332971916,0.935894786669842
DUSP6,4,0.0636155514389571,0.572539962950614,0.964181059865431
SLC7A1,5,0.0385695315168176,0.617112504269082,0.954238269758217
SPRY2,3,0.0702753453177517,0.281101381271007,0.949753156349283
EFNB2,4,0.155081948012343,1.39573753211109,0.880466746541914
PNP,3,0.0265429947299087,0.106171978919635,0.864772630699948
FOS,4,0.694318977249865,6.24887079524879,0.886992414822573
TRIM9,4,0.102843260968662,0.925589348717962,0.902126908137345
GCH1,2,0.103371007581881,0.103371007581881,0.860938534376514
THBS1,3,0.08371921056982,0.33487684227928,0.934699103254893
CHAC1,4,0.260045751234881,2.34041176111393,0.884546835364667
ARRDC4,3,0.128431313793193,0.513725255172773,0.976998327938778
PYGO1,,,,
TNFRSF12A,3,0.121971994430043,0.487887977720174,0.986758213834149
PMM2,3,0.122305484958379,0.489221939833516,0.866756438156168
KCTD13,3,0.0744760122310468,0.297904048924187,0.901987051415282
TXNL4B,5,0.0898556250207797,1.43769000033247,0.887401208235328
CMC2,3,0.0404885039598072,0.161954015839229,0.890614999529
SLC7A5,2,0.0270723596700939,0.0270723596700939,0.928748270021885
FAM57A,3,0.133134955193159,0.532539820772637,0.893953545328262
KDM6B,4,0.144271735468602,1.29844561921742,0.92841168957201
